"judge_id","judge"
1,"Carrie Ann Inaba"
2,"Len Goodman"
3,"Bruno Tonioli"
4,"Julianne Hough"
5,"Derek Hough"
6,"Rashad Jennings"
7,"David Ross"
8,"Robin Roberts"
9,"Kevin Hart"
10,"Paula Abdul"
11,"Zendaya"
12,"America's Score"
13,"Alfonso Ribeiro"
14,"Donny Osmond"
15,"Maksim Chmerkovskiy"
16,"Jessie J"
17,"Redfoo"
18,"Michael Flatley"
19,"Nick Carter"
20,"Pitbull"
21,"Ricky Martin"
22,"Donnie Burns"
23,"Abby Lee Miller"
24,"Mel B"
25,"Mandy Moore"
26,"Cher"
27,"Emmitt Smith"
28,"Kelly Osbourne"
29,"Hélio Castroneves"
30,"Gilles Marini"
31,"Drew Lachey"
32,"Shania Twain"
33,"Kenny Ortega"
34,"Olivia Newton-John"
35,"Idina Menzel"
36,"Michael Bublé"
37,"Leah Remini"
38,"Joey Fatone"
